,image_name,x,y,score
141,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1071,920,0.9456686973571777
142,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1031,850,0.9690356254577637
143,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1770,819,0.9347464442253113
144,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,632,499,0.25874510407447815
145,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,626,499,0.8840888142585754
146,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1436,436,0.701083242893219
147,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1061,434,0.921441912651062
148,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1439,431,0.9287384152412415
149,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1811,416,0.80881667137146
150,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1808,410,0.30768242478370667
151,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1976,325,0.8316305875778198
152,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1983,317,0.759238064289093
153,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,178,297,0.8128542304039001
154,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,173,291,0.8859822750091553
155,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,931,162,0.9553803205490112
156,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1300,67,0.8731406331062317
157,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1295,57,0.9099400639533997
158,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,724,55,0.9506019949913025
159,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,873,2008,0.890673041343689
160,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,882,2003,0.4152166247367859
161,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,847,1927,0.8532241582870483
162,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,845,1921,0.44149351119995117
163,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1771,1880,0.2742280960083008
164,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1773,1871,0.9196590781211853
165,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,510,1752,0.8553745746612549
166,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,505,1741,0.9652529358863831
167,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1269,1724,0.9023642539978027
168,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1269,1716,0.9613211750984192
169,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1480,1471,0.9576663970947266
170,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1485,1463,0.92887282371521
171,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1980,1316,0.7214857339859009
172,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1976,1315,0.9075740575790405
173,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1216,1219,0.9620838165283203
174,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1434,1153,0.8906685709953308
175,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1283,1137,0.9139047265052795
176,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1302,891,0.9539893865585327
177,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,957,852,0.9746937155723572
178,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,416,769,0.8894977569580078
179,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,418,767,0.2556278705596924
180,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1349,764,0.9276222586631775
181,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1231,753,0.7893967032432556
182,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,902,738,0.9057801961898804
183,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,905,731,0.3141568899154663
184,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1145,678,0.8754579424858093
185,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1288,638,0.8658093810081482
186,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1288,536,0.928625762462616
187,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,670,494,0.9586683511734009
188,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1085,483,0.9404629468917847
189,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,257,469,0.9270033240318298
190,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1765,421,0.8522396683692932
191,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1769,420,0.40255504846572876
192,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,188,315,0.4985112249851227
193,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,181,313,0.9008355736732483
